sensitivity_id,split_bucket,model_id,removal_type,removed_feature_n,removed_feature_names,removed_feature_family_id,base_rank_ic_spearman,sensitivity_rank_ic_spearman,rank_ic_retention_rate,sensitivity_status
top1_abs_coefficient_removed,robustness,ridge_payoff_rank_h20_v1,topk,1,mr_volume_20d_zscore,mixed,0.1253619565871872,-0.00025986595607666556,-0.0020729251772321614,pass
top3_abs_coefficient_removed,robustness,ridge_payoff_rank_h20_v1,topk,3,mr_volume_20d_zscore|mr_max_drawdown_20d|mr_money_20d_zscore,mixed,0.1253619565871872,0.0869591068112637,0.6936642437515328,pass
top5_abs_coefficient_removed,robustness,ridge_payoff_rank_h20_v1,topk,5,mr_volume_20d_zscore|mr_max_drawdown_20d|mr_money_20d_zscore|mr_volatility_60d|mr_turnover_rate_20d_mean,mixed,0.1253619565871872,0.007239240746138296,0.05774671154804067,pass
family_F1_removed,robustness,ridge_payoff_rank_h20_v1,family,7,mr_ret_5d|mr_ret_10d|mr_ret_20d|mr_ma_5_20_spread|mr_ma_20_60_spread|mr_distance_to_20d_high|mr_distance_to_60d_high,F1,0.1253619565871872,0.10120541435790131,0.8073056381144992,pass
family_F2_removed,robustness,ridge_payoff_rank_h20_v1,family,5,mr_turnover_rate_20d_mean|mr_turnover_rate_60d_mean|mr_turnover_rate_20d_zscore|mr_volume_20d_zscore|mr_money_20d_zscore,F2,0.1253619565871872,0.09886128175798459,0.7886067228795058,pass
family_F3_removed,robustness,ridge_payoff_rank_h20_v1,family,2,mr_board_rank_pct|mr_board_rank_by_market_cap,F3,0.1253619565871872,0.13988163018132244,1.1158220084419075,pass
family_F4_removed,robustness,ridge_payoff_rank_h20_v1,family,5,mr_volatility_20d|mr_volatility_60d|mr_max_drawdown_20d|mr_max_drawdown_60d|mr_intraday_range_20d_mean,F4,0.1253619565871872,0.12177667331928684,0.9714005479373092,pass
family_F5_removed,robustness,ridge_payoff_rank_h20_v1,family,4,mr_board_bucket_chinext|mr_board_bucket_main_board|mr_log_total_market_cap_cny|mr_tradability_status_ok,F5,0.1253619565871872,0.1306909235934789,1.0425086457755266,pass
family_M1_removed,robustness,ridge_payoff_rank_h20_v1,family,8,mr_m1_close_location_episode_range|mr_m1_close_location_trailing60_range|mr_m1_episode_drawdown_pre_t0|mr_m1_failed_repair_count_low_to_t0|mr_m1_path_transition_entropy_episode|mr_m1_pullback_from_episode_high_t0|mr_m1_repair_path_efficiency_episode|mr_m1_up_down_run_imbalance_20,M1,0.1253619565871872,0.09435561698585043,0.7526654780649313,pass
family_M2_removed,robustness,ridge_payoff_rank_h20_v1,family,7,mr_m2_flow_concentration_top3_share_20|mr_m2_flow_price_divergence_persistence_20|mr_m2_money_flow_persistence_trailing20|mr_m2_money_flow_reversal_accel_5v20|mr_m2_net_signed_money_flow_trailing20|mr_m2_positive_money_flow_share_trailing20|mr_m2_turnover_compression_20_vs_60,M2,0.1253619565871872,0.11239675323449559,0.89657784781243,pass
family_M3_removed,robustness,ridge_payoff_rank_h20_v1,family,5,mr_m3_asymmetric_range_position_t0|mr_m3_failed_breakout_count_pre_t0|mr_m3_upper_shadow_pressure_share_20|mr_m3_upside_downside_room_ratio_t0|mr_m3_upside_room_to_episode_high,M3,0.1253619565871872,0.10896299834496209,0.8691871227231531,pass
family_M5_removed,robustness,ridge_payoff_rank_h20_v1,family,6,mr_m5_bars_since_episode_high_t0|mr_m5_bars_since_episode_low|mr_m5_episode_age_to_t0|mr_m5_high_to_t0_age_ratio|mr_m5_low_to_t0_age_ratio|mr_m5_nonoverlap_step_index_to_t0,M5,0.1253619565871872,0.10244761646492472,0.8172145621680215,pass
top1_abs_coefficient_removed,validation,ridge_payoff_rank_h20_v1,topk,1,mr_volume_20d_zscore,mixed,0.1770748683628941,0.09635715955105574,0.5441605601173346,pass
top3_abs_coefficient_removed,validation,ridge_payoff_rank_h20_v1,topk,3,mr_volume_20d_zscore|mr_max_drawdown_20d|mr_money_20d_zscore,mixed,0.1770748683628941,0.08948836138414532,0.5053701985577618,pass
