feature_name,feature_family_id,split_bucket,row_n,finite_n,missing_n,finite_rate,expected_min_finite_rate,feature_complete_rate_gate,blocking_reason
ret_5d,F1,train,20245,20245,0,1.0,0.8,pass,
ret_5d,F1,robustness,2496,2496,0,1.0,0.8,pass,
ret_5d,F1,validation,664,664,0,1.0,0.8,pass,
ret_5d,F1,total,23405,23405,0,1.0,0.8,pass,
ret_10d,F1,train,20245,20245,0,1.0,0.8,pass,
ret_10d,F1,robustness,2496,2496,0,1.0,0.8,pass,
ret_10d,F1,validation,664,664,0,1.0,0.8,pass,
ret_10d,F1,total,23405,23405,0,1.0,0.8,pass,
ret_20d,F1,train,20245,20245,0,1.0,0.8,pass,
ret_20d,F1,robustness,2496,2496,0,1.0,0.8,pass,
ret_20d,F1,validation,664,664,0,1.0,0.8,pass,
ret_20d,F1,total,23405,23405,0,1.0,0.8,pass,
ma_5_20_spread,F1,train,20245,20245,0,1.0,0.8,pass,
ma_5_20_spread,F1,robustness,2496,2496,0,1.0,0.8,pass,
ma_5_20_spread,F1,validation,664,664,0,1.0,0.8,pass,
ma_5_20_spread,F1,total,23405,23405,0,1.0,0.8,pass,
ma_20_60_spread,F1,train,20245,20245,0,1.0,0.8,pass,
ma_20_60_spread,F1,robustness,2496,2496,0,1.0,0.8,pass,
ma_20_60_spread,F1,validation,664,664,0,1.0,0.8,pass,
ma_20_60_spread,F1,total,23405,23405,0,1.0,0.8,pass,
distance_to_20d_high,F1,train,20245,20245,0,1.0,0.8,pass,
distance_to_20d_high,F1,robustness,2496,2496,0,1.0,0.8,pass,
distance_to_20d_high,F1,validation,664,664,0,1.0,0.8,pass,
distance_to_20d_high,F1,total,23405,23405,0,1.0,0.8,pass,
distance_to_60d_high,F1,train,20245,20245,0,1.0,0.8,pass,
distance_to_60d_high,F1,robustness,2496,2496,0,1.0,0.8,pass,
distance_to_60d_high,F1,validation,664,664,0,1.0,0.8,pass,
distance_to_60d_high,F1,total,23405,23405,0,1.0,0.8,pass,
turnover_rate_20d_mean,F2,train,20245,20245,0,1.0,0.8,pass,
turnover_rate_20d_mean,F2,robustness,2496,2496,0,1.0,0.8,pass,
turnover_rate_20d_mean,F2,validation,664,664,0,1.0,0.8,pass,
turnover_rate_20d_mean,F2,total,23405,23405,0,1.0,0.8,pass,
turnover_rate_60d_mean,F2,train,20245,20245,0,1.0,0.8,pass,
turnover_rate_60d_mean,F2,robustness,2496,2496,0,1.0,0.8,pass,
turnover_rate_60d_mean,F2,validation,664,664,0,1.0,0.8,pass,
turnover_rate_60d_mean,F2,total,23405,23405,0,1.0,0.8,pass,
turnover_rate_20d_zscore,F2,train,20245,20245,0,1.0,0.8,pass,
