check_id,observed_value,expected_value,oracle_denominator_contract_gate,blocking_reason
O5_perfect_utility_primary_exists,1,1,pass,
O5_perfect_utility_primary_denominator_type,labelable_full,labelable_full,pass,
O5_perfect_utility_primary_split_bucket,robustness,robustness,pass,
O5_perfect_utility_primary_observed_step_n,2496.0,2496,pass,
O5_perfect_utility_primary_mean_incremental_return,0.0294674283651707,0.0294674283651707,pass,
O5_perfect_utility_primary_allowed_bridge_denominator,labelable_full,labelable_full,pass,
O5_perfect_utility_primary_direct_comparison_allowed,True,True,pass,
O5_perfect_utility_primary_gate,pass,pass,pass,
O2_dd_10pct_primary_exists,1,1,pass,
O2_dd_10pct_primary_denominator_type,labelable_full,labelable_full,pass,
O2_dd_10pct_primary_split_bucket,robustness,robustness,pass,
O2_dd_10pct_primary_observed_step_n,2496.0,2496,pass,
O2_dd_10pct_primary_mean_incremental_return,0.0185108290944368,0.0185108290944368,pass,
O2_dd_10pct_primary_allowed_bridge_denominator,labelable_full,labelable_full,pass,
O2_dd_10pct_primary_direct_comparison_allowed,True,True,pass,
O2_dd_10pct_primary_gate,pass,pass,pass,
O4_label_positive_primary_exists,1,1,pass,
O4_label_positive_primary_denominator_type,binary_primary,binary_primary,pass,
O4_label_positive_primary_split_bucket,robustness,robustness,pass,
O4_label_positive_primary_observed_step_n,1872.0,1872,pass,
O4_label_positive_primary_mean_incremental_return,0.0246811054592491,0.0246811054592491,pass,
O4_label_positive_primary_allowed_bridge_denominator,binary_primary,binary_primary,pass,
O4_label_positive_primary_direct_comparison_allowed,False,False,pass,
O4_label_positive_primary_gate,pass,pass,pass,
17D_mixed_o5_vs_best_label_path_gap_exists,1,1,pass,
17D_mixed_o5_vs_best_label_path_gap_denominator_type,mixed_diagnostic_only,mixed_diagnostic_only,pass,
17D_mixed_o5_vs_best_label_path_gap_split_bucket,robustness,robustness,pass,
17D_mixed_o5_vs_best_label_path_gap_allowed_bridge_denominator,none,none,pass,
17D_mixed_o5_vs_best_label_path_gap_direct_comparison_allowed,False,False,pass,
17D_mixed_o5_vs_best_label_path_gap_gate,pass,pass,pass,
