split_bucket,denominator_type,operating_point_id,score_action_bucket,label_class,row_n,row_share,mean_y_payoff_h20,mean_continue_value,mean_defend_value,mean_defend_advantage,sum_incremental_return,mean_incremental_return_on_full_denominator,positive_opportunity_cost,negative_avoidance_gain,neutral_contribution,continued_positive_retained,continued_negative_leakage,decomposition_status,blocking_reason
train,labelable_full,defend_bottom10_continue_rest,defended,positive,725,0.0358113114349222,0.11150496014018432,0.11150496014018432,-0.004999999999999999,-0.11650496014018431,-84.46609610163362,-0.004172195411293338,0.004172195411293338,0.0,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom10_continue_rest,defended,negative,831,0.04104717214126945,-0.12062958059804162,-0.12062958059804162,-0.004999999999999999,0.11562958059804161,96.08818147697258,0.004746267299430604,0.0,0.0050178526765063845,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom10_continue_rest,defended,neutral,469,0.023166213879970362,-0.042525390650621456,-0.042525390650621456,-0.004999999999999999,0.037525390650621444,17.59940821514146,0.0008693212257417367,0.0,0.0,0.0008693212257417367,0.0,0.0,pass,
train,labelable_full,defend_bottom10_continue_rest,continued,positive,9353,0.46199061496665844,0.11369411374438673,0.11369411374438673,-0.005,-0.11869411374438672,0.0,0.0,0.0,0.0,0.0,0.054835566601691726,0.0,pass,
train,labelable_full,defend_bottom10_continue_rest,continued,negative,4053,0.20019757964929613,-0.10340686342633346,-0.10340686342633346,-0.005,0.09840686342633344,0.0,0.0,0.0,0.0,0.0,0.0,0.02137572880357464,pass,
train,labelable_full,defend_bottom10_continue_rest,continued,neutral,4814,0.23778710792788343,-0.039777567092697134,-0.039777567092697134,-0.005,0.03477756709269713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom10_continue_rest,defended,positive,190,0.07612179487179487,0.12375491126428723,0.12375491126428723,-0.004999999999999999,-0.1287549112642872,-24.46343314021457,-0.009801054943996221,0.009801054943996221,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom10_continue_rest,defended,negative,135,0.054086538461538464,-0.08882617347945791,-0.08882617347945791,-0.005,0.0838261734794579,11.316533419726817,0.004533867555980295,0.0,0.005515198131857034,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom10_continue_rest,defended,neutral,119,0.04767628205128205,-0.039999883485128375,-0.039999883485128375,-0.005,0.03499988348512838,4.164986134730277,0.001668664316798989,0.0,0.0,0.001668664316798989,0.0,0.0,pass,
robustness,labelable_full,defend_bottom10_continue_rest,continued,positive,1156,0.46314102564102566,0.11864161415163992,0.11864161415163992,-0.004999999999999999,-0.12364161415163992,0.0,0.0,0.0,0.0,0.0,0.05726350399010246,0.0,pass,
