artifact_id,relative_path,exists,artifact_type,row_count,column_count,columns,sha256_or_inventory_hash,input_artifact_gate,blocking_reason
requirement_19a,experiments/pending/19_entry_universe_pit_tradability_preflight/requirement_19a_entry_universe_pit_lineage_tradability_and_data_contract.md,True,.md,1,0,,43e9c0cd25db5a2947dff1facaa0588166a7891934383a247f1cf82faae33e4d,pass,
requirement_19b0,experiments/pending/19_entry_universe_pit_tradability_preflight/requirement_19b0_fast_rule_grid_enrichment_scan.md,True,.md,1,0,,9b8ebceb788240a029f8e759e35fe8d5215e8bc536145039c2037af87cd1ab7d,pass,
config_19a,experiments/pending/19_entry_universe_pit_tradability_preflight/configs/config_19a_entry_universe_pit_lineage_tradability_and_data_contract.yaml,True,.yaml,1,0,,289ebb257f74fbc6aabf2af1fc02d7fa75bc673e34f6167b6b56f6666e47b4c6,pass,
nineteen_a_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/entry_universe_preflight_decision.csv,True,.csv,1,43,run_id|created_at|requirement_file_hash|config_file_hash|decision_state|next_allowed_requirement|all_critical_gates_pass|upstream_closure_gate|pit_lineage_gate|entry_execution_gate|fill_feasibility_gate|forward_label_freeze_gate|winner_membership_independence_gate|event_canonicalization_gate|cooldown_entry_denominator_gate|primary_enrichment_denominator_gate|censoring_treatment_gate|split_stability_gate|industry_data_contract_gate|industry_pit_gate|theme_snapshot_status_gate|primary_metric_margin_freeze_gate|baseline_budget_gate|baseline_matching_quality_gate|sample_support_gate|candidate_density_gate|effective_sample_size_gate|validation_stress_rule_freeze_gate|search_accounting_gate|family_level_multiplicity_gate|replay_path_eligibility_freeze_gate|minimum_sample_support_gate|no_policy_authorization_gate|implementation_readiness_gate|model_training_authorized|entry_policy_authorized|exit_policy_authorized|holding_policy_authorized|portfolio_backtest_authorized|model_deployment_authorized|production_signal_authorized|live_trading_authorized|blocking_reason,10a86f073207bd42ae16048fdd1604e6cbcea12c6a79c35b0c05f121a1e3456b,pass,
nineteen_a_manifest,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/manifest_19a_entry_universe_pit_lineage_tradability_and_data_contract.json,True,.json,1,0,,e3f54ca404ae0cac81f438ab61eb255a71c2c8f53a7b48e43039c3124035875c,pass,
nineteen_a_candidate_density,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/candidate_density_and_overlap_audit.csv,True,.csv,3,11,split|raw_trigger_rows|canonical_event_rows|cooldown_entry_rows|fill_feasible_candidate_rows|primary_enrichment_denominator_rows|instrument_n|decision_month_n|instrument_month_n|candidate_density_gate|blocking_reason,73cb8b988f22b07c68e33e55761d90f77deeaf0d033aab2717a925622f64edf8,pass,
nineteen_a_effective_sample,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/effective_sample_size_readout.csv,True,.csv,3,10,split|primary_denominator_n|instrument_n|decision_month_n|instrument_month_n|effective_sample_method|effective_sample_n|effective_sample_ratio|effective_sample_size_gate|blocking_reason,4c942a582440996a44e1fa363a2cb75a83bb4c7693cfd81c510dea10c4560d48,pass,
nineteen_a_grid_search_manifest,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/grid_search_manifest.csv,True,.csv,6,8,family_id|family_type|parameter_n|grid_cell_n|family_status|validation_selected_cells|counts_toward_N_family_cap|blocking_reason,2a8cea25ba17db44a5b9264c14162e990144c3d055b1f5615d06eee49ac2c9d2,pass,
nineteen_a_family_search_accounting_manifest,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/family_search_accounting_manifest.csv,True,.csv,10,8,family_id|family_source|status|counts_toward_N_family_cap|N_family_cap|blocking_reason|N_supported_primary_family|family_level_multiplicity_gate,9ec9ce05b91109064196d5c1badd48bf73c34fdc7d877cd4e5fd3761a05efce9,pass,
nineteen_a_baseline_budget_freeze,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/baseline_budget_freeze.csv,True,.csv,9,7,baseline_family|split|same_budget_denominator|same_budget_row_count|primary_baseline_pass_rule|baseline_budget_gate|blocking_reason,a80475041a35083802cad297b335a26204c97d1e1804c10d8445e2183a6efc03,pass,
