family_id,grid_cell_id,parameter_hash,baseline_family,split,label_anchor_type,candidate_n,tradable_n,instrument_n,instrument_month_n,cooldown_entry_n,primary_denominator_n,path_complete_120_n,path_complete_30_n,p_candidate_50,p_matched_50_by_baseline,primary_tail_lift_50_by_baseline,primary_tail_lift_50_conservative,primary_tail_lift_50_train_margin_ratio_by_baseline,primary_tail_lift_50_train_margin_adjusted_by_baseline,primary_tail_lift_50_train_margin_adjusted_conservative,zero_baseline_flag,train_triage_baseline_pass,train_triage_pass,residual_alpha_train_pass,p_train_baseline_eligible_50,positive_exposure_delta_50,positive_exposure_ratio_50,positive_exposure_absolute_margin_floor_50,positive_exposure_relative_margin_ratio_floor,positive_exposure_relative_margin_floor_50,positive_exposure_margin_50,positive_exposure_score_50,positive_exposure_train_pass,selection_track,promotion_claim_type,selected_for_19B_robustness_flag,blocking_reason,residual_alpha_claim_allowed,positive_beta_exposure_claim_allowed,train_primary_metric_rank
EP07_topn_multichannel_recommended_union,EP07_identity_cell,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,calendar_time_random_same_budget,train,executable_next_open_anchored,5116,5116,803,4889,5116,5116,5116,5116,0.1663408913213448,0.1593041438623925,1.0441717791411043,1.0059101654846336,0.1,-0.055828220858895744,-0.09408983451536637,False,False,False,False,0.1625320576050503,0.0038088337162945074,1.023434353643328,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.028697577804715553,False,train_diagnostic_only,train_diagnostic_only,False,baseline_arm_did_not_pass,False,True,35.0
EP07_topn_multichannel_recommended_union,EP07_identity_cell,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,instrument_matched_random_same_budget,train,executable_next_open_anchored,5116,5116,803,4889,5116,5116,5116,5116,0.1663408913213448,0.15500390930414387,1.0731399747793189,1.0059101654846336,0.1,-0.026860025220681122,-0.09408983451536637,False,False,False,False,0.1625320576050503,0.0038088337162945074,1.023434353643328,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.028697577804715553,False,train_diagnostic_only,train_diagnostic_only,False,baseline_arm_did_not_pass,False,True,35.0
EP07_topn_multichannel_recommended_union,EP07_identity_cell,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,liquidity_size_volatility_matched_same_budget,train,executable_next_open_anchored,5116,5116,803,4889,5116,5116,5116,5116,0.1663408913213448,0.1653635652853792,1.0059101654846336,1.0059101654846336,0.1,-0.09408983451536637,-0.09408983451536637,False,False,False,False,0.1625320576050503,0.0038088337162945074,1.023434353643328,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.028697577804715553,False,train_diagnostic_only,train_diagnostic_only,False,baseline_arm_did_not_pass,False,True,35.0
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,2fbec781d4f888a3844d4d7899c2738d9aea21d7eb8a004b1f072a0aadd6b34f,calendar_time_random_same_budget,train,executable_next_open_anchored,5027,5027,950,4588,5027,5027,5027,5027,0.16948478217624827,0.15854386313904914,1.06900878293601,0.9424778761061947,0.1,-0.030991217063990023,-0.1575221238938053,False,False,False,False,0.1625320576050503,0.006952724571197971,1.0427775583084844,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.02555368694981209,False,train_diagnostic_only,train_diagnostic_only,False,baseline_arm_did_not_pass,False,True,93.0
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,2fbec781d4f888a3844d4d7899c2738d9aea21d7eb8a004b1f072a0aadd6b34f,instrument_matched_random_same_budget,train,executable_next_open_anchored,5027,5027,950,4588,5027,5027,5027,5027,0.16948478217624827,0.17982892381141835,0.9424778761061947,0.9424778761061947,0.1,-0.1575221238938053,-0.1575221238938053,False,False,False,False,0.1625320576050503,0.006952724571197971,1.0427775583084844,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.02555368694981209,False,train_diagnostic_only,train_diagnostic_only,False,baseline_arm_did_not_pass,False,True,93.0
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,2fbec781d4f888a3844d4d7899c2738d9aea21d7eb8a004b1f072a0aadd6b34f,liquidity_size_volatility_matched_same_budget,train,executable_next_open_anchored,5027,5027,950,4588,5027,5027,5027,5027,0.16948478217624827,0.17783966580465485,0.953020134228188,0.9424778761061947,0.1,-0.14697986577181202,-0.1575221238938053,False,False,False,False,0.1625320576050503,0.006952724571197971,1.0427775583084844,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.02555368694981209,False,train_diagnostic_only,train_diagnostic_only,False,baseline_arm_did_not_pass,False,True,93.0
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,0db9446cc5e9fedca01b270dae5623034d66775e4af190aa95bea21ed2b6a1dd,calendar_time_random_same_budget,train,executable_next_open_anchored,3529,3529,828,3256,3529,3529,3529,3529,0.16095211107962595,0.15840181354491356,1.0161001788908766,0.9044585987261147,0.11497987591275173,-0.09887969702187517,-0.2015609252024981,False,False,False,False,0.1625320576050503,-0.0015799465254243417,0.9902791698529801,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.0340863580464344,False,train_diagnostic_only,train_diagnostic_only,False,baseline_arm_did_not_pass,False,True,117.0
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,0db9446cc5e9fedca01b270dae5623034d66775e4af190aa95bea21ed2b6a1dd,instrument_matched_random_same_budget,train,executable_next_open_anchored,3529,3529,828,3256,3529,3529,3529,3529,0.16095211107962595,0.17058656843298384,0.9435215946843855,0.9044585987261147,0.10713287160806291,-0.16361127692367744,-0.2015609252024981,False,False,False,False,0.1625320576050503,-0.0015799465254243417,0.9902791698529801,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.0340863580464344,False,train_diagnostic_only,train_diagnostic_only,False,baseline_arm_did_not_pass,False,True,117.0
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,0db9446cc5e9fedca01b270dae5623034d66775e4af190aa95bea21ed2b6a1dd,liquidity_size_volatility_matched_same_budget,train,executable_next_open_anchored,3529,3529,828,3256,3529,3529,3529,3529,0.16095211107962595,0.17795409464437517,0.9044585987261147,0.9044585987261147,0.10601952392861277,-0.2015609252024981,-0.2015609252024981,False,False,False,False,0.1625320576050503,-0.0015799465254243417,0.9902791698529801,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.0340863580464344,False,train_diagnostic_only,train_diagnostic_only,False,baseline_arm_did_not_pass,False,True,117.0
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__df9bf4d825ee,df9bf4d825ee21784c7e9fa5f674ca0a3e0de751511c690ca60a3648ec8a97a2,calendar_time_random_same_budget,train,executable_next_open_anchored,4760,4760,947,4354,4760,4760,4760,4760,0.17121848739495799,0.1550420168067227,1.1043360433604337,0.9198645598194131,0.10210518175789947,0.0022308616025342037,-0.18013544018058694,False,True,False,False,0.1625320576050503,0.00868642978990769,1.0534444091701316,0.02,0.2,0.03250641152101006,0.03250641152101006,-0.02381998173110237,False,train_diagnostic_only,train_diagnostic_only,False,,False,True,106.0
