variant_id,suppressor_family,suppressor_rule,score_name,threshold_type,threshold_value,candidate_removed_target_pct,logical_condition,primary_success_eligible,exploratory_only,excluded_from_primary_success_gate,pre_registered_flag,blocking_reason
S0,baseline,keep_all,none,none,,0.0,keep_all,False,False,True,True,
S1,tail_risk_score_top_pct,remove_tail_risk_score_top_10pct,tail_risk_score,top_pct,0.10,0.1,tail_risk_score >= p90,True,False,False,True,
S2,tail_risk_score_top_pct,remove_tail_risk_score_top_15pct,tail_risk_score,top_pct,0.15,0.15,tail_risk_score >= p85,True,False,False,True,
S3,tail_risk_score_top_pct,remove_tail_risk_score_top_20pct,tail_risk_score,top_pct,0.20,0.2,tail_risk_score >= p80,True,False,False,True,
S4,tail_risk_score_top_pct,remove_tail_risk_score_top_25pct,tail_risk_score,top_pct,0.25,0.25,tail_risk_score >= p75,True,False,False,True,
S5,tail_risk_score_top_pct,remove_tail_risk_score_top_30pct,tail_risk_score,top_pct,0.30,0.3,tail_risk_score >= p70,True,False,False,True,
A_VOL60_top10,single_feature,remove_q_vol60_top_10pct,q_vol60,top_pct,0.10,0.1,q_vol60 >= p90,False,False,True,True,
A_VOL60_top20,single_feature,remove_q_vol60_top_20pct,q_vol60,top_pct,0.20,0.2,q_vol60 >= p80,False,False,True,True,
A_VOL60_top30,single_feature,remove_q_vol60_top_30pct,q_vol60,top_pct,0.30,0.3,q_vol60 >= p70,False,False,True,True,
A_ATR20_top10,single_feature,remove_q_atr20_top_10pct,q_atr20,top_pct,0.10,0.1,q_atr20 >= p90,False,False,True,True,
A_ATR20_top20,single_feature,remove_q_atr20_top_20pct,q_atr20,top_pct,0.20,0.2,q_atr20 >= p80,False,False,True,True,
A_ATR20_top30,single_feature,remove_q_atr20_top_30pct,q_atr20,top_pct,0.30,0.3,q_atr20 >= p70,False,False,True,True,
A_RET60_top10,single_feature,remove_q_ret60_top_10pct,q_ret60,top_pct,0.10,0.1,q_ret60 >= p90,False,False,True,True,
A_RET60_top20,single_feature,remove_q_ret60_top_20pct,q_ret60,top_pct,0.20,0.2,q_ret60 >= p80,False,False,True,True,
A_RET60_top30,single_feature,remove_q_ret60_top_30pct,q_ret60,top_pct,0.30,0.3,q_ret60 >= p70,False,False,True,True,
A_EMA60_top10,single_feature,remove_q_ema60_dist_top_10pct,q_ema60_dist,top_pct,0.10,0.1,q_ema60_dist >= p90,False,False,True,True,
A_EMA60_top20,single_feature,remove_q_ema60_dist_top_20pct,q_ema60_dist,top_pct,0.20,0.2,q_ema60_dist >= p80,False,False,True,True,
A_EMA60_top30,single_feature,remove_q_ema60_dist_top_30pct,q_ema60_dist,top_pct,0.30,0.3,q_ema60_dist >= p70,False,False,True,True,
B_vol80_extension80,logical_interaction,candidate_vol_block_rank_pct >= 0.80 and candidate_extension_block_rank_pct >= 0.80,candidate_vol_block_rank_pct__candidate_extension_block_rank_pct,candidate_score_rank_threshold,0.80,,candidate_vol_block_rank_pct >= 0.80 and candidate_extension_block_rank_pct >= 0.80,True,False,False,True,
B_vol70_extension85,logical_interaction,candidate_vol_block_rank_pct >= 0.70 and candidate_extension_block_rank_pct >= 0.85,candidate_vol_block_rank_pct__candidate_extension_block_rank_pct,candidate_score_rank_threshold,0.70|0.85,,candidate_vol_block_rank_pct >= 0.70 and candidate_extension_block_rank_pct >= 0.85,True,False,False,True,
B_vol85_extension70,logical_interaction,candidate_vol_block_rank_pct >= 0.85 and candidate_extension_block_rank_pct >= 0.70,candidate_vol_block_rank_pct__candidate_extension_block_rank_pct,candidate_score_rank_threshold,0.85|0.70,,candidate_vol_block_rank_pct >= 0.85 and candidate_extension_block_rank_pct >= 0.70,True,False,False,True,
B_atr80_ema80,logical_interaction,candidate_q_atr20_rank_pct >= 0.80 and candidate_q_ema60_dist_rank_pct >= 0.80,candidate_q_atr20_rank_pct__candidate_q_ema60_dist_rank_pct,candidate_score_rank_threshold,0.80,,candidate_q_atr20_rank_pct >= 0.80 and candidate_q_ema60_dist_rank_pct >= 0.80,True,False,False,True,
B_vol60_80_ret60_80,logical_interaction,candidate_q_vol60_rank_pct >= 0.80 and candidate_q_ret60_rank_pct >= 0.80,candidate_q_vol60_rank_pct__candidate_q_ret60_rank_pct,candidate_score_rank_threshold,0.80,,candidate_q_vol60_rank_pct >= 0.80 and candidate_q_ret60_rank_pct >= 0.80,True,False,False,True,
C_basis_top10,basis_risk_score_top_pct,remove_basis_risk_score_top_10pct,basis_risk_score,top_pct,0.10,0.1,basis_risk_score >= p90,True,False,False,True,
C_basis_top15,basis_risk_score_top_pct,remove_basis_risk_score_top_15pct,basis_risk_score,top_pct,0.15,0.15,basis_risk_score >= p85,True,False,False,True,
C_basis_top20,basis_risk_score_top_pct,remove_basis_risk_score_top_20pct,basis_risk_score,top_pct,0.20,0.2,basis_risk_score >= p80,True,False,False,True,
C_basis_top25,basis_risk_score_top_pct,remove_basis_risk_score_top_25pct,basis_risk_score,top_pct,0.25,0.25,basis_risk_score >= p75,True,False,False,True,
C_basis_top30,basis_risk_score_top_pct,remove_basis_risk_score_top_30pct,basis_risk_score,top_pct,0.30,0.3,basis_risk_score >= p70,True,False,False,True,
D_atr20_over_vol60_top20,volatility_contraction_descriptive,remove_atr20_over_vol60_top_20pct,atr20_over_vol60,top_pct,0.20,0.2,atr20_over_vol60 >= p80,False,False,True,True,
D_rank_spread_top20,volatility_contraction_descriptive,remove_vol_expansion_rank_spread_top_20pct,vol_expansion_rank_spread,top_pct,0.20,0.2,vol_expansion_rank_spread >= p80,False,False,True,True,
