candidate_n,matched_candidate_n,unmatched_candidate_n,unmatched_candidate_rate,baseline_reuse_rate,max_standardized_mean_difference_after_matching,per_feature_smd_json,decision_month_coverage_delta,instrument_coverage_delta,matched_baseline_primary_row_count,primary_enrichment_denominator_row_count,common_support_pass,baseline_matching_quality_gate,failure_reason,family_id,grid_cell_id,split,repair_variant_id,baseline_family,variant_role,primary_residual_claim_allowed,quality_blocks_residual_alpha_only,positive_exposure_readout_allowed,diagnostic_repair_only_flag,matching_method,bucket_spec_id,caliper_spec_id
1552,1552,147,0.09471649484536082,0.007087628865979356,1.116754532338425,{},0.04832474226804124,0.009664948453608248,1552,1552,fail,fail,baseline_quality_threshold_failed,B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,True,True,True,False,19B0_frozen_method,,
1552,1552,221,0.14239690721649484,0.03672680412371132,1.0582786345119133,{},0.04832474226804124,0.0032216494845360823,1552,1552,fail,fail,baseline_quality_threshold_failed,B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,robustness,original_instrument_matched_random_same_budget,instrument_matched_random_same_budget,primary_original_frozen,True,True,True,False,19B0_frozen_method,,
1552,1552,712,0.4587628865979381,0.05283505154639179,0.7781410050524251,{},0.04832474226804124,0.005798969072164949,1552,1552,fail,fail,baseline_quality_threshold_failed,B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,robustness,original_liquidity_size_volatility_matched_same_budget,liquidity_size_volatility_matched_same_budget,primary_original_frozen,True,True,True,False,19B0_frozen_method,,
1552,1552,712,0.4587628865979381,0.05476804123711343,0.7846998756560556,{},0.04832474226804124,0.005154639175257733,1552,1552,fail,fail,baseline_quality_threshold_failed,B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,robustness,repaired_lsv_return_cem_v1,liquidity_size_volatility_recent_return_matched_same_budget,diagnostic_repair_only,False,False,True,True,coarsened_exact_matching,,
1552,1552,147,0.09471649484536082,0.008376288659793785,1.1047786111069349,{},0.04832474226804124,0.011597938144329896,1552,1552,fail,fail,baseline_quality_threshold_failed,B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,robustness,repaired_lsv_return_nn_caliper_v1,liquidity_size_volatility_recent_return_nearest_neighbor_same_budget,diagnostic_repair_only,False,False,True,True,nearest_neighbor_with_frozen_calipers,,19B_frozen_nn_caliper_v1
2983,2983,275,0.09218907140462622,0.013744552463962445,0.8954979253003195,{},0.04089842440496145,0.005028494803888703,2983,2983,fail,fail,baseline_quality_threshold_failed,B5_recent_high_close_plus_amount_expansion,B5-recent-high-close-plus-amount-expansion__25d72c708fc1,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,True,True,True,False,19B0_frozen_method,,
2983,2983,215,0.0720750921890714,0.025142474019443473,0.8297333606286648,{},0.07509218907140462,0.0013409319477036541,2983,2983,fail,fail,baseline_quality_threshold_failed,B5_recent_high_close_plus_amount_expansion,B5-recent-high-close-plus-amount-expansion__25d72c708fc1,robustness,original_instrument_matched_random_same_budget,instrument_matched_random_same_budget,primary_original_frozen,True,True,True,False,19B0_frozen_method,,
2983,2983,1061,0.3556821991283942,0.13375796178343946,0.535096704682801,{},0.04089842440496145,0.004358028830036875,2983,2983,fail,fail,baseline_quality_threshold_failed,B5_recent_high_close_plus_amount_expansion,B5-recent-high-close-plus-amount-expansion__25d72c708fc1,robustness,original_liquidity_size_volatility_matched_same_budget,liquidity_size_volatility_matched_same_budget,primary_original_frozen,True,True,True,False,19B0_frozen_method,,
2983,2983,1061,0.3556821991283942,0.14850821320817964,0.5235942387401633,{},0.04089842440496145,0.0050284948038887035,2983,2983,fail,fail,baseline_quality_threshold_failed,B5_recent_high_close_plus_amount_expansion,B5-recent-high-close-plus-amount-expansion__25d72c708fc1,robustness,repaired_lsv_return_cem_v1,liquidity_size_volatility_recent_return_matched_same_budget,diagnostic_repair_only,False,False,True,True,coarsened_exact_matching,,
2983,2983,275,0.09218907140462622,0.017767348307073383,0.8877908441255055,{},0.04089842440496145,0.0053637277908146165,2983,2983,fail,fail,baseline_quality_threshold_failed,B5_recent_high_close_plus_amount_expansion,B5-recent-high-close-plus-amount-expansion__25d72c708fc1,robustness,repaired_lsv_return_nn_caliper_v1,liquidity_size_volatility_recent_return_nearest_neighbor_same_budget,diagnostic_repair_only,False,False,True,True,nearest_neighbor_with_frozen_calipers,,19B_frozen_nn_caliper_v1
