序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600301,华锡有色,62.76,1.41,0.87,163359,1032402315.0,5.45,64.97,61.6,63.45,61.89,5.93,54.56,8.38
2,920068,天工股份,16.73,0.36,0.06,17020,28285512.52,3.06,16.86,16.35,16.63,16.67,0.98,27556.59,8.59
3,002428,云南锗业,105.31,0.23,0.24,572998,6085478214.14,6.95,109.6,102.3,107.77,105.07,8.77,1888.09,47.02
4,001280,中国铀业,66.2,0.23,0.15,103237,691853096.46,6.07,69.52,65.51,66.06,66.05,5.94,159.88,8.3
5,000960,锡业股份,40.41,-0.17,-0.07,821054,3415647206.63,6.65,43.0,40.31,41.31,40.48,4.99,19.16,3.27
6,002978,安宁股份,26.62,-0.22,-0.06,33461,89665704.67,3.04,27.3,26.49,26.7,26.68,0.91,20.54,1.43
7,301026,浩通科技,19.85,-0.4,-0.08,97484,196640613.48,4.72,20.75,19.81,19.93,19.93,6.09,17.14,2.7
8,600456,宝钛股份,27.5,-2.03,-0.57,71001,197320062.0,3.56,28.41,27.41,28.2,28.07,1.49,55.75,1.85
9,600111,北方稀土,47.31,-2.59,-1.26,730277,3483263056.0,3.44,48.77,47.1,48.66,48.57,2.02,46.59,6.81
10,688750,金天钛业,16.02,-3.49,-0.58,50651,82225720.0,3.98,16.64,15.98,16.51,16.6,2.17,191.55,2.99
11,600281,华阳新材,4.02,-3.83,-0.16,145995,60006280.0,6.46,4.27,4.0,4.19,4.18,2.84,5726.45,36.76
12,002182,宝武镁业,14.68,-3.93,-0.6,644258,990339787.41,8.05,15.87,14.64,15.42,15.28,7.44,715.23,2.76
13,002167,东方锆业,23.94,-4.39,-1.1,1180969,2923941867.95,10.26,26.3,23.73,25.38,25.04,15.57,229.01,10.42
14,001257,盛龙股份,26.4,-5.14,-1.43,220762,597179900.82,7.15,28.3,26.31,27.48,27.83,16.12,31.47,6.58
15,601958,金钼股份,23.66,-5.4,-1.35,872449,2118858689.0,7.8,25.47,23.52,25.44,25.01,2.7,21.17,3.85
16,600549,厦门钨业,70.84,-5.61,-4.21,900111,6545860265.0,9.27,76.96,70.0,74.68,75.05,5.79,25.4,6.37
17,000831,中国稀土,51.14,-6.08,-3.31,511669,2681613922.1,7.81,55.25,51.0,54.45,54.45,4.82,97.92,11.04
18,600259,中稀有色,95.93,-6.19,-6.33,190911,1916200984.0,10.94,107.0,95.81,105.0,102.26,5.67,47.21,8.94
19,600459,贵研铂业,23.36,-6.56,-1.64,653504,1605239729.0,13.56,26.55,23.16,25.55,25.0,8.6,21.64,2.16
20,002378,章源钨业,30.37,-7.46,-2.45,676751,2137755478.35,9.84,33.58,30.35,32.78,32.82,5.66,23.92,14.16
