日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-01-02,1574.23,1571.2,1579.74,1564.83,0.03,0.49,4229754,5632954871.0,0.95,1.87
2024-01-03,1566.04,1560.23,1572.31,1548.49,-0.7,-10.97,3520284,4682533763.0,1.52,1.55
2024-01-04,1556.7,1541.9,1557.12,1534.08,-1.17,-18.33,3235626,4072391962.0,1.48,1.43
2024-01-05,1543.52,1520.23,1563.39,1512.92,-1.41,-21.67,5513749,5839094351.0,3.27,2.43
2024-01-08,1517.53,1480.81,1518.51,1480.81,-2.59,-39.42,4959038,5144927036.0,2.48,2.19
2024-01-09,1484.51,1492.56,1507.8,1480.62,0.79,11.75,4347514,4924247714.0,1.84,1.92
2024-01-10,1493.93,1485.41,1511.67,1471.98,-0.48,-7.15,4384709,5279559339.0,2.66,1.94
2024-01-11,1483.53,1518.45,1525.51,1480.15,2.22,33.04,4536504,6347327149.0,3.05,2.0
2024-01-12,1515.71,1507.06,1533.11,1506.74,-0.75,-11.39,4159691,6383813361.0,1.74,1.84
2024-01-15,1503.57,1491.43,1507.82,1486.04,-1.04,-15.63,3929807,5216709563.0,1.45,1.73
2024-01-16,1489.48,1478.09,1499.8,1458.29,-0.89,-13.34,4644443,5927877975.0,2.78,2.05
2024-01-17,1477.83,1436.62,1478.08,1436.62,-2.81,-41.47,4049200,5282404558.0,2.8,1.79
2024-01-18,1427.91,1424.91,1431.32,1382.35,-0.82,-11.71,5740714,7089142196.0,3.41,2.53
2024-01-19,1421.0,1403.57,1436.55,1403.25,-1.5,-21.34,3513121,4736566200.0,2.34,1.55
2024-01-22,1399.02,1321.48,1403.0,1312.47,-5.85,-82.09,4822900,5811608592.0,6.45,2.13
2024-01-23,1317.61,1336.72,1341.82,1300.55,1.15,15.24,3925509,4548966293.0,3.12,1.73
2024-01-24,1340.33,1350.21,1352.5,1297.68,1.01,13.49,3934433,4613801565.0,4.1,1.74
2024-01-25,1352.48,1402.59,1402.9,1347.94,3.88,52.38,4786224,5820137691.0,4.07,2.11
2024-01-26,1399.67,1394.66,1418.82,1390.56,-0.57,-7.93,4745623,5431485584.0,2.01,2.1
2024-01-29,1396.7,1378.92,1402.53,1366.88,-1.13,-15.74,4035766,5503795061.0,2.56,1.78
