fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,1,300618,寒锐钴业,37.75,4.37,1.58,130912,499533035.68,6.64,39.2,36.8,36.8,36.17,4.8,45.14,2.13
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,2,603399,永杉锂业,20.85,4.25,0.85,910425,1939675006.0,10.0,22.0,20.0,20.0,20.0,17.77,20.15,6.6
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,3,002192,融捷股份,94.4,3.07,2.81,305350,2896483178.1,11.68,98.5,87.8,89.0,91.59,11.78,22.04,6.42
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,4,301219,腾远钴业,55.36,1.95,1.06,123967,694829370.21,6.92,58.2,54.44,54.44,54.3,4.54,9.98,2.21
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,5,002466,天齐锂业,58.91,0.43,0.25,513184,3072193308.21,5.3,61.11,58.0,58.97,58.66,3.48,13.45,2.18
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,6,603799,华友钴业,46.91,0.32,0.15,633947,3027479147.0,5.6,49.13,46.51,47.0,46.76,3.36,8.89,1.79
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,7,002460,赣锋锂业,62.83,-0.22,-0.14,570545,3664390989.98,5.43,65.9,62.48,63.19,62.97,4.71,17.93,2.84
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,8,000762,西藏矿业,26.67,-1.08,-0.29,196013,531400883.86,5.19,27.87,26.47,26.95,26.96,3.76,182.91,4.72
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,9,002738,中矿资源,63.47,-1.23,-0.79,503275,3291754293.81,7.91,68.18,63.1,64.69,64.26,7.08,22.55,3.69
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,10,002240,盛新锂能,41.43,-1.59,-0.67,519603,2228691104.34,7.15,44.41,41.4,41.93,42.1,5.69,20.43,3.53
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,能源金属,BK1015,current_membership,stock_board_industry_cons_em,11,002756,永兴材料,57.98,-3.8,-2.29,196419,1170767710.37,6.55,61.8,57.85,60.0,60.27,5.07,15.98,2.41
