fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,项目,值
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,今开,8376.43
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,昨收,8370.25
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,最低,8253.86
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,最高,8419.20
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,成交量(万手),1049.55
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,板块涨幅,-0.69%
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,涨幅排名,43/90
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,涨跌家数,15/29
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,资金净流入(亿),-16.79
2026-07-06T07:54:56Z,2026-07-06,ths,industry,白色家电,881131,current_info,stock_board_industry_info_ths,成交额(亿),283.47
