fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,history_start_requested,history_end_requested,日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-04,1003.905,1009.505,996.202,996.732,79887559,982619200.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-05,997.11,1003.636,986.613,997.304,86254690,1099333340.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-06,996.583,1013.996,991.106,996.665,94008018,1254386490.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-07,993.647,1009.683,984.1,985.398,104731784,1349234100.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-08,978.166,979.137,959.696,978.944,103998834,1285084640.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-11,978.29,989.061,970.359,976.247,90683034,1313307630.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-12,976.574,999.798,961.659,995.996,114623268,1540903700.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-13,975.596,1007.187,968.808,986.922,122729753,1660986900.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-14,986.283,1014.472,983.094,1014.472,118129715,1814906000.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-15,1016.135,1038.906,1015.131,1020.789,153946300,2218502200.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-18,1024.617,1055.464,1024.617,1037.475,175449230,2405591800.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-19,1040.225,1057.916,1030.207,1043.559,151476090,2185447200.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-20,1041.122,1055.154,1009.226,1009.226,194804130,2697501200.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-21,1009.057,1011.377,988.62,1006.114,99494627,1341510560.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-22,994.986,1003.605,955.53,966.591,98693299,1374028500.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-25,959.642,973.903,946.054,946.054,79671039,1384007100.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-26,951.384,951.429,899.871,925.532,72937283,1216470010.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-27,926.235,939.104,910.932,927.635,61169646,1014685160.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-28,926.992,942.76,926.745,930.594,53710219,957906360.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-01-29,923.001,949.876,920.571,934.692,63082246,1014434700.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-02-01,923.936,938.357,911.26,911.26,73827343,1161582030.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-02-02,915.572,930.954,909.962,910.238,66205262,955943900.0
2026-07-06T08:04:33Z,2026-07-06,ths,industry,电池,881281,historical_board_index_ohlcv,stock_board_industry_index_ths,19900101,20260706,2010-02-03,909.112,920.759,879.817,912.335,79635311,1130563270.0
