fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,name,code
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,半导体,881121
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,白酒,881273
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,白色家电,881131
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,保险,881156
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,包装印刷,881138
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,厨卫电器,881174
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,电池,881281
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,电机,881277
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,电力,881145
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,电网设备,881278
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,多元金融,881283
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,电子化学品,881172
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,房地产,881153
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,风电设备,881280
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,非金属材料,881167
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,服装家纺,881136
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,纺织制造,881135
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,工程机械,881268
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,光伏设备,881279
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,贵金属,881169
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,轨交设备,881269
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,港口航运,881148
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,公路铁路运输,881149
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,钢铁,881112
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,光学光电子,881122
