fetched_at_utc,classification_year,effective_start_date,effective_end_date,classification_first_open_trade_date,source_snapshot_year,source_snapshot_trade_date,snapshot_policy,snapshot_trade_date,source_api,board_ts_code,board_name,idx_type,level,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,trade_date
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1628.DC,2025三季报扭亏,概念板块,,锦好医疗,920925.BJ,3.0,20.03,12910268.2,1.35,7,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1199.DC,2025三季报预减,概念板块,,奥来德,688378.SH,0.97,4.84,6533912.8,3.26,5,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1198.DC,2025三季报预增,概念板块,,普利特,002324.SZ,2.56,10.01,403508153.6,2.57,82,7,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1197.DC,反内卷概念,概念板块,,盐湖股份,000792.SZ,0.7,10.01,522878336.0,1.4,106,40,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1196.DC,2025中报扭亏,概念板块,,友邦吊顶,002718.SZ,1.11,9.99,202403278.4,3.87,139,48,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1195.DC,2025中报预减,概念板块,,南兴股份,002757.SZ,1.26,10.02,231294873.6,2.27,139,61,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1194.DC,2025中报预增,概念板块,,锋龙股份,002931.SZ,1.87,10.0,1350966707.2,2.29,349,79,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1193.DC,海南自贸,概念板块,,达嘉维康,301126.SZ,-0.56,6.51,126261059.2,3.82,42,38,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1192.DC,雅下水电概念,概念板块,,中岩大地,003001.SZ,0.93,6.46,192946672.0,1.31,41,12,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1190.DC,虚拟机器人,概念板块,,佳创视讯,300264.SZ,3.39,12.07,71521904.0,4.29,15,1,20260105
