run_id,source_id,requested_url,resolved_url,resolved_domain,content_role,http_status,content_type,local_path,byte_size,sha256,acquired_at_utc,allowlist_gate,content_validation_gate,acquisition_error,material_waiver_authorized,local_full_text_claim_allowed,frozen_material_status
20A_paper_lineage_data_and_replication_contract,china_anomalies_full_paper,https://pure.eur.nl/ws/files/58642799/Anomalies_in_the_China_A_share_market.pdf,https://pure.eur.nl/ws/files/58642799/Anomalies_in_the_China_A_share_market.pdf,pure.eur.nl,official_pdf_full_text,200,application/pdf,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_materials/china_anomalies_full_paper__f3a7452cff08c6ca.pdf,1713434,f3a7452cff08c6ca7b2346e277b5918b8d77d7e7db25a9b7debf0aded7601729,2026-07-10T14:34:47.946898Z,pass,pass,,False,True,validated_local_material
20A_paper_lineage_data_and_replication_contract,china_low_vol_full_article,https://link.springer.com/article/10.1057/s41260-021-00218-0,https://link.springer.com/content/pdf/10.1057/s41260-021-00218-0.pdf,link.springer.com,official_pdf_full_text,200,application/pdf,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_materials/china_low_vol_full_article__a4bcf93229408898.pdf,589336,a4bcf93229408898cf45f426d72e935e38a40d8be175f54e3a686f005b176c33,2026-07-10T14:43:17.624632Z,pass,pass,,False,True,validated_local_material
20A_paper_lineage_data_and_replication_contract,china_size_value_appendix,https://finance.wharton.upenn.edu/~stambaug/size_value_china_appendix_2_rev.pdf,https://finance.wharton.upenn.edu/~stambaug/size_value_china_appendix_2_rev.pdf,finance.wharton.upenn.edu,official_pdf_full_text,200,application/pdf,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_materials/china_size_value_appendix__7e612f3688f809e4.pdf,251046,7e612f3688f809e411888a6550bfebf0383e416e19acaccd38f639cb51c78820,2026-07-10T14:35:11.174063Z,pass,pass,,False,True,validated_local_material
20A_paper_lineage_data_and_replication_contract,china_size_value_full_paper,https://faculty.wharton.upenn.edu/wp-content/uploads/2018/03/Size-and-Value-in-China.pdf,https://faculty.wharton.upenn.edu/wp-content/uploads/2018/03/Size-and-Value-in-China.pdf,faculty.wharton.upenn.edu,official_pdf_full_text,200,application/pdf,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_materials/china_size_value_full_paper__40178157c9556453.pdf,633468,40178157c95564532881da380111f8cdaa042b1b3f41c8fa6caa53043cbeb347,2026-07-10T14:35:02.422549Z,pass,pass,,False,True,validated_local_material
20A_paper_lineage_data_and_replication_contract,fip_full_working_paper,https://business.uq.edu.au/sites/default/files/events/files/mitch-warachka-paper.pdf,https://business.uq.edu.au/sites/default/files/events/files/mitch-warachka-paper.pdf,business.uq.edu.au,official_pdf_full_text,200,application/pdf,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_materials/fip_full_working_paper__39f432cbfe323794.pdf,422763,39f432cbfe32379427315085ee302f5c8e90a01ced90d971c7fab7748c8a7f93,2026-07-10T14:35:17.416251Z,pass,pass,,False,True,validated_local_material
20A_paper_lineage_data_and_replication_contract,ma_portfolio_timing_full_paper,https://www.nowandfutures.com/large/TA_profitability_ssrn-id1656460.pdf,,,official_pdf_full_text,0,,,0,,2026-07-10T14:47:06.191553Z,pass,fail,"RuntimeError:urllib=HTTPError:HTTP Error 522: <none>;curl=CalledProcessError:Command '['curl', '-L', '--fail', '--silent', '--show-error', '--max-time', '90', '-A', 'Mozilla/5.0', 'https://www.nowandfutures.com/large/TA_profitability_ssrn-id1656460.pdf']' returned non-zero exit status 56.",True,False,waived_external_review_not_cached
20A_paper_lineage_data_and_replication_contract,ohlcv_cnn_full_paper,https://economics.yale.edu/sites/default/files/2023-11/The%20Journal%20of%20Finance%20-%202023%20-%20JIANG%20-%20Re%25E2%2580%2590%20Imag%20in%20ing%20Price%20Trends_0.pdf,https://economics.yale.edu/sites/default/files/2023-11/The%20Journal%20of%20Finance%20-%202023%20-%20JIANG%20-%20Re%25E2%2580%2590%20Imag%20in%20ing%20Price%20Trends_0.pdf,economics.yale.edu,official_pdf_full_text,200,application/pdf,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_materials/ohlcv_cnn_full_paper__534c580c875e9266.pdf,1931469,534c580c875e9266b6c2e76b83f5877c311bf0a0b793e9039111dc1c4fa73f5f,2026-07-10T14:36:24.377995Z,pass,pass,,False,True,validated_local_material
20A_paper_lineage_data_and_replication_contract,residual_momentum_full_paper,https://repub.eur.nl/pub/22252/ResidualMomentum-2011.pdf,https://repub.eur.nl/pub/22252/ResidualMomentum-2011.pdf,repub.eur.nl,official_pdf_full_text,200,application/pdf,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_materials/residual_momentum_full_paper__db0ebbbe9de1d46d.pdf,356559,db0ebbbe9de1d46deccef39cc4160416a5df39fd46b5a5ca4045df5b3ec227ee,2026-07-10T14:34:13.088688Z,pass,pass,,False,True,validated_local_material
20A_paper_lineage_data_and_replication_contract,technical_fdr_accepted_manuscript,https://archive-ouverte.unige.ch/unige:79889,https://archive-ouverte.unige.ch/unige:79889,archive-ouverte.unige.ch,official_html_full_text,200,text/html,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_materials/technical_fdr_accepted_manuscript__5bcc2e5b56a4c4a1.html,724688,5bcc2e5b56a4c4a111a32b5f3840b61ca135f4218f9fac8f0648396feb99a4ab,2026-07-10T14:36:42.857207Z,pass,pass,,False,True,validated_local_material
20A_paper_lineage_data_and_replication_contract,trend_china_full_working_paper,https://acfr.aut.ac.nz/__data/assets/pdf_file/0014/324113/Y-Liu-New-TrendChina_12_1_WithAppendix.pdf,,,official_pdf_full_text,0,,,0,,2026-07-10T14:46:24.066923Z,pass,fail,"RuntimeError:urllib=HTTPError:HTTP Error 403: Forbidden;curl=CalledProcessError:Command '['curl', '-L', '--fail', '--silent', '--show-error', '--max-time', '90', '-A', 'Mozilla/5.0', 'https://acfr.aut.ac.nz/__data/assets/pdf_file/0014/324113/Y-Liu-New-TrendChina_12_1_WithAppendix.pdf']' returned non-zero exit st",True,False,waived_external_review_not_cached
20A_paper_lineage_data_and_replication_contract,trend_china_internet_appendix,https://guofuzhou.github.io/TrendChina_Appendix.pdf,https://guofuzhou.github.io/TrendChina_Appendix.pdf,guofuzhou.github.io,official_pdf_full_text,200,application/pdf,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_materials/trend_china_internet_appendix__5704faa6a07acd3c.pdf,357812,5704faa6a07acd3c768a2ff233a4734a679f2e798f17668a78aeb8e4f182563b,2026-07-10T14:34:04.082067Z,pass,pass,,False,True,validated_local_material
