term_type,feature_id,feature_order,coefficient
intercept,__INTERCEPT__,0,0.48982544719354754
feature,p4_rank_t,1,0.00081598334886895862
feature,p4_rank_lag1,2,0.0074543085920389116
feature,p4_rank_lag3,3,0.0057452679513674406
feature,p4_rank_mean3,4,0.008309855231697404
feature,p4_rank_std3,5,0.00079774518746750028
feature,p4_rank_delta1,6,-0.0027868159019339986
feature,p4_rank_delta3,7,-0.0012234669976977828
feature,p4_lag1_missing,8,0.00030785757766879873
feature,p4_lag3_missing,9,-0.0029234099378142248
feature,p4_mean3_missing,10,-0.0038198905950799743
