policy_id,decision_date,vol_proxy,realized_capital_weight
C_D8_ONLY_XD8_R100_CNONE,2024-07-31,high,0
C_D8_ONLY_XD8_R100_CNONE,2024-07-31,low,0.441044223191
C_D8_ONLY_XD8_R100_CNONE,2024-07-31,middle,0.55681685566
C_D8_ONLY_XD8_R100_CNONE,2024-07-31,missing,0
C_D8_ONLY_XD8_R100_CNONE,2024-08-30,high,0
C_D8_ONLY_XD8_R100_CNONE,2024-08-30,low,0.295340812097
C_D8_ONLY_XD8_R100_CNONE,2024-08-30,middle,0.700130108856
C_D8_ONLY_XD8_R100_CNONE,2024-08-30,missing,0
C_D8_ONLY_XD8_R100_CNONE,2024-09-30,high,0
C_D8_ONLY_XD8_R100_CNONE,2024-09-30,low,0.248500022216
C_D8_ONLY_XD8_R100_CNONE,2024-09-30,middle,0.407749261905
C_D8_ONLY_XD8_R100_CNONE,2024-09-30,missing,0
C_D8_ONLY_XD8_R100_CNONE,2024-10-31,high,0
C_D8_ONLY_XD8_R100_CNONE,2024-10-31,low,0.408315325806
C_D8_ONLY_XD8_R100_CNONE,2024-10-31,middle,0.566059789235
C_D8_ONLY_XD8_R100_CNONE,2024-10-31,missing,0
C_D8_ONLY_XD8_R100_CNONE,2024-11-29,high,0
C_D8_ONLY_XD8_R100_CNONE,2024-11-29,low,0.363562612925
C_D8_ONLY_XD8_R100_CNONE,2024-11-29,middle,0.635925788677
C_D8_ONLY_XD8_R100_CNONE,2024-11-29,missing,0
C_D8_ONLY_XD8_R100_CNONE,2024-12-31,high,0
C_D8_ONLY_XD8_R100_CNONE,2024-12-31,low,0.204284383166
C_D8_ONLY_XD8_R100_CNONE,2024-12-31,middle,0.7945003296
C_D8_ONLY_XD8_R100_CNONE,2024-12-31,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-01-27,high,0
C_D8_ONLY_XD8_R100_CNONE,2025-01-27,low,0.203929213994
C_D8_ONLY_XD8_R100_CNONE,2025-01-27,middle,0.792706263156
C_D8_ONLY_XD8_R100_CNONE,2025-01-27,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-02-28,high,0
C_D8_ONLY_XD8_R100_CNONE,2025-02-28,low,0.2042192129
C_D8_ONLY_XD8_R100_CNONE,2025-02-28,middle,0.79404474533
C_D8_ONLY_XD8_R100_CNONE,2025-02-28,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-03-31,high,0
C_D8_ONLY_XD8_R100_CNONE,2025-03-31,low,0.385947232548
C_D8_ONLY_XD8_R100_CNONE,2025-03-31,middle,0.612386652269
C_D8_ONLY_XD8_R100_CNONE,2025-03-31,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-04-30,high,0
C_D8_ONLY_XD8_R100_CNONE,2025-04-30,low,0.272848652346
C_D8_ONLY_XD8_R100_CNONE,2025-04-30,middle,0.72445762204
C_D8_ONLY_XD8_R100_CNONE,2025-04-30,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-05-30,high,0.0223770506075
C_D8_ONLY_XD8_R100_CNONE,2025-05-30,low,0.204396960665
C_D8_ONLY_XD8_R100_CNONE,2025-05-30,middle,0.770641761365
C_D8_ONLY_XD8_R100_CNONE,2025-05-30,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-06-30,high,0
C_D8_ONLY_XD8_R100_CNONE,2025-06-30,low,0.28889497907
C_D8_ONLY_XD8_R100_CNONE,2025-06-30,middle,0.707030992369
C_D8_ONLY_XD8_R100_CNONE,2025-06-30,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-07-31,high,0
C_D8_ONLY_XD8_R100_CNONE,2025-07-31,low,0.294694882765
C_D8_ONLY_XD8_R100_CNONE,2025-07-31,middle,0.700287778258
C_D8_ONLY_XD8_R100_CNONE,2025-07-31,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-08-29,high,0
C_D8_ONLY_XD8_R100_CNONE,2025-08-29,low,0.340913872136
C_D8_ONLY_XD8_R100_CNONE,2025-08-29,middle,0.657777839539
C_D8_ONLY_XD8_R100_CNONE,2025-08-29,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-09-30,high,0
C_D8_ONLY_XD8_R100_CNONE,2025-09-30,low,0.355323725569
C_D8_ONLY_XD8_R100_CNONE,2025-09-30,middle,0.640782620679
C_D8_ONLY_XD8_R100_CNONE,2025-09-30,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-10-31,high,0.0227318197564
C_D8_ONLY_XD8_R100_CNONE,2025-10-31,low,0.249909742761
C_D8_ONLY_XD8_R100_CNONE,2025-10-31,middle,0.722962265813
C_D8_ONLY_XD8_R100_CNONE,2025-10-31,missing,0
C_D8_ONLY_XD8_R100_CNONE,2025-11-28,high,0.0454228239803
C_D8_ONLY_XD8_R100_CNONE,2025-11-28,low,0.363126150137
C_D8_ONLY_XD8_R100_CNONE,2025-11-28,middle,0.56686942055
C_D8_ONLY_XD8_R100_CNONE,2025-11-28,missing,0.0244629438659
C_D8_ONLY_XD8_R100_CNONE,2025-12-31,high,0
C_D8_ONLY_XD8_R100_CNONE,2025-12-31,low,0.329576001412
C_D8_ONLY_XD8_R100_CNONE,2025-12-31,middle,0.658283567663
C_D8_ONLY_XD8_R100_CNONE,2025-12-31,missing,0
C_D8_ONLY_XD8_R100_CNONE,2026-01-30,high,0.0317782657725
C_D8_ONLY_XD8_R100_CNONE,2026-01-30,low,0.427824663822
C_D8_ONLY_XD8_R100_CNONE,2026-01-30,middle,0.540214619731
C_D8_ONLY_XD8_R100_CNONE,2026-01-30,missing,0
C_D8_ONLY_XD8_R100_CNONE,2026-02-27,high,0
C_D8_ONLY_XD8_R100_CNONE,2026-02-27,low,0.311376380461
C_D8_ONLY_XD8_R100_CNONE,2026-02-27,middle,0.685907215051
C_D8_ONLY_XD8_R100_CNONE,2026-02-27,missing,0
C_D8_ONLY_XD8_R100_CNONE,2026-03-31,high,0
C_D8_ONLY_XD8_R100_CNONE,2026-03-31,low,0.390646744038
C_D8_ONLY_XD8_R100_CNONE,2026-03-31,middle,0.589466244303
C_D8_ONLY_XD8_R100_CNONE,2026-03-31,missing,0.0191612069479
C_D9D10_EQUAL_XD8_R100_CNONE,2024-07-31,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2024-07-31,low,0.630419151564
C_D9D10_EQUAL_XD8_R100_CNONE,2024-07-31,middle,0.351597613112
C_D9D10_EQUAL_XD8_R100_CNONE,2024-07-31,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2024-08-30,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2024-08-30,low,0.720856469091
C_D9D10_EQUAL_XD8_R100_CNONE,2024-08-30,middle,0.260945010706
C_D9D10_EQUAL_XD8_R100_CNONE,2024-08-30,missing,0.0120819144328
C_D9D10_EQUAL_XD8_R100_CNONE,2024-09-30,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2024-09-30,low,0.667198613186
C_D9D10_EQUAL_XD8_R100_CNONE,2024-09-30,middle,0.180094123836
C_D9D10_EQUAL_XD8_R100_CNONE,2024-09-30,missing,0.00876082281486
C_D9D10_EQUAL_XD8_R100_CNONE,2024-10-31,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2024-10-31,low,0.654920319274
C_D9D10_EQUAL_XD8_R100_CNONE,2024-10-31,middle,0.334243036543
