bucket_capacity_n,month_scope,signal_month_n,top_evaluable_month_n,top_mean,top_median,top_std,top_positive_rate,top_hac_t,top_hac_p,bottom_effective_month_n,bottom_mean,spread_month_n,spread_mean,spread_positive_rate,spread_hac_t,spread_hac_p,top_deferred_position_n,bottom_deleted_unknown_n,middle_ignored_unknown_n,mean_deferred_return_contribution,historical_sample_role,inference_role
5,full,63,63,0.0024260844125965912,-0.0051319475866360206,0.0795953381123185,0.49206349206349204,0.23467179831166013,0.8144634782134501,63,0.0009816251898867989,63,0.0014444592227097913,0.49206349206349204,0.12147155865861724,0.9033175407677814,0,1,28,0.0,design_contaminated_followup,descriptive_not_support
5,early,32,32,-0.009512658381817593,-0.014070515360840674,0.0789879677457272,0.40625,-0.5693506700310347,0.5691181867326108,32,-0.012684160793132216,32,0.0031715024113146252,0.5,0.17087852400494097,0.8643192836421045,0,1,10,0.0,design_contaminated_followup,descriptive_not_support
5,late,31,31,0.014749947942314458,0.016650269676614583,0.07960622999469652,0.5806451612903226,1.4275009336216493,0.15343555626188382,31,0.015088242978809658,31,-0.00033829503649519745,0.4838709677419355,-0.025685809375024068,0.9795079426020908,0,0,18,0.0,design_contaminated_followup,descriptive_not_support
10,full,63,63,0.0028902622674613753,-0.0071818086297319225,0.0681698169986326,0.47619047619047616,0.32217950186500416,0.7473167124036182,63,-0.0021312080157795186,63,0.0050214702832408935,0.5396825396825397,0.46125254403546834,0.6446174279025458,0,1,28,0.0,design_contaminated_followup,descriptive_not_support
10,early,32,32,-0.00848930706997587,-0.011069960903732473,0.06738409608233574,0.40625,-0.565371273022574,0.5718212597119978,32,-0.012344111340545657,32,0.0038548042705697826,0.53125,0.2164942229230109,0.828602527831481,0,1,10,0.0,design_contaminated_followup,descriptive_not_support
10,late,31,31,0.014636914486751437,0.01726553492674533,0.0680542063828714,0.5483870967741935,1.832024655281266,0.06694774740320095,31,0.008411143803333911,31,0.006225770683417525,0.5483870967741935,0.5277046204562917,0.5977043658267973,0,0,18,0.0,design_contaminated_followup,descriptive_not_support
20,full,63,63,0.002073948593202598,-0.007331765787621397,0.06454177891418429,0.4126984126984127,0.2735137421047062,0.7844583302608442,63,-0.0024260906076710464,63,0.004500039200873645,0.47619047619047616,0.4602767965354333,0.6453175539729309,0,1,28,0.0,design_contaminated_followup,descriptive_not_support
20,early,32,32,-0.0076998539802203185,-0.007774253245271876,0.06019458364311116,0.375,-0.6557579085706546,0.5119799027788774,32,-0.01116961610256349,32,0.00346976212234317,0.5,0.2474092283070151,0.804591532993603,0,1,10,0.0,design_contaminated_followup,descriptive_not_support
20,late,31,31,0.0121630351206069,-0.0008590157276186505,0.06824768139279458,0.45161290322580644,1.4418428030079484,0.14934672481030736,31,0.0065994840967340505,31,0.0055635510238728455,0.45161290322580644,0.4176668695983283,0.6761906984027599,0,0,18,0.0,design_contaminated_followup,descriptive_not_support
30,full,63,63,0.004381544981763579,-0.00852242529710761,0.06843727884898611,0.4444444444444444,0.5460855360918617,0.585007141686142,63,-0.002631412682873115,63,0.007012957664636692,0.47619047619047616,0.7003486007133797,0.4837096271226453,0,1,28,0.0,design_contaminated_followup,descriptive_not_support
30,early,32,32,-0.004579550564635143,-0.010161741748480006,0.06297956996500935,0.40625,-0.38974873023195206,0.6967223588091237,32,-0.010783331708893304,32,0.00620378114425816,0.5,0.4505534673551571,0.6523114104808028,0,1,10,0.0,design_contaminated_followup,descriptive_not_support
30,late,31,31,0.013631708126433228,-0.0025050557035956934,0.07353131004150788,0.4838709677419355,1.3533175799246602,0.17595419531693968,31,0.0057834714730186955,31,0.007848236653414534,0.45161290322580644,0.542131725622566,0.5877277646296394,0,0,18,0.0,design_contaminated_followup,descriptive_not_support
40,full,63,63,0.004947558492100063,-0.0042067192096057636,0.06377485959733044,0.47619047619047616,0.6634935712396338,0.5070144954591326,63,-0.002989839497454355,63,0.007937397989554416,0.5079365079365079,0.9100727167935749,0.36278416195457086,1,2,26,5.568358064595885e-05,design_contaminated_followup,descriptive_not_support
40,early,32,32,-0.003922038908949339,-0.0036040848501196513,0.05665634596805979,0.46875,-0.36599517359944256,0.7143686770070992,32,-0.008855917040983914,32,0.004933878132034573,0.53125,0.39854329528985927,0.6902297507424386,0,2,9,0.0,design_contaminated_followup,descriptive_not_support
40,late,31,31,0.014103271938344607,-0.007475186773927445,0.07012944429957778,0.4838709677419355,1.4959171686277617,0.13467524170552622,31,0.003065466353930996,31,0.011037805584413614,0.4838709677419355,0.9059584929322332,0.3649578223366629,1,0,17,0.00011316340582888412,design_contaminated_followup,descriptive_not_support
50,full,63,63,0.005240332010387514,-0.00714721040653118,0.06150657956029673,0.4444444444444444,0.7820700075432038,0.4341734318879604,63,-0.0031202763230609516,63,0.008360608333448467,0.5238095238095238,1.0719190695194538,0.283756384187814,4,2,23,0.00010802726571002713,design_contaminated_followup,descriptive_not_support
50,early,32,32,-0.0031743711941398345,-0.006783050010176204,0.052830532302746765,0.40625,-0.36091128295559866,0.7181657687061658,32,-0.008861423335446365,32,0.005687052141306532,0.5,0.519778058399683,0.6032182739913226,2,2,7,0.00014889679293565044,design_contaminated_followup,descriptive_not_support
50,late,31,31,0.013926477253770584,-0.00714721040653118,0.06914282438310565,0.4838709677419355,1.5066335160789353,0.13190462150335944,31,0.00280606898004657,31,0.011120408273724012,0.5483870967741935,1.0055943597239125,0.3146107381962891,2,0,16,6.583936663841599e-05,design_contaminated_followup,descriptive_not_support
