arm_id,semantic_track,return_semantics,weighting,bucket_count,full_sample_mean_spread,max_abs_month_contribution,top3_abs_month_contribution,leave_one_month_out_mean_min,LOIO_full_mean_min,LOIO_full_mean_max,LOIO_max_abs_shift,LOIO_max_abs_shift_instrument,missing_reason,inference_role
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,0.00437194086645,0.0440308691251,0.118252468167,0.0022670200847,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,10,0.00159912737856,0.0468122086162,0.121179304875,-0.00102989623888,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,VW,5,0.00634694406491,0.050727472386,0.129877640688,0.00423983153429,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,VW,10,0.00568006583311,0.0414619794496,0.115394283985,0.00305762610512,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,EW,5,0.00544612346709,0.063551514006,0.171458018289,0.00278536212718,0.00509543754811,0.00575923222669,0.000350685918981,SZ300476,,design_only_not_support
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,EW,10,0.0034057066638,0.0620681526401,0.17648514104,0.00021104378105,0.00267269493644,0.00389224812807,0.000733011727362,SZ300476,,design_only_not_support
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,VW,5,0.00792449819488,0.0584032041608,0.155091611405,0.00536313002668,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,VW,10,0.00569672281767,0.05771669419,0.160154117341,0.00233701609876,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,EW,5,-0.0130447436203,0.0644947195306,0.175613950311,-0.0148301177034,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,EW,10,-0.0143944917526,0.0705917942385,0.183718957206,-0.0164234190978,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,VW,5,-0.0129322001372,0.0777735135449,0.191674242577,-0.0151723581405,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,VW,10,-0.0135654358614,0.0638335899768,0.176474803646,-0.0163524260721,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,project_conservative_primary,EW,5,-0.0171393410752,0.117952230298,0.269355838616,-0.0190934483753,-0.0175455275198,-0.0167076632937,0.000431677781547,SZ300394,,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,project_conservative_primary,EW,10,-0.0191490026617,0.124901552747,0.26544196519,-0.0219835378774,-0.0197750865687,-0.0181907910132,0.000958211648543,SZ300418,,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,project_conservative_primary,VW,5,-0.0201236027623,0.0994448926079,0.27513709484,-0.0219638562418,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,project_conservative_primary,VW,10,-0.0229019055032,0.105797548225,0.261983907557,-0.0254378239857,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,project_strict_primary,paper_qfq_complete_case_sensitivity,EW,5,-0.0165726821883,0.0733508747134,0.208558692555,-0.0188850854074,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,project_strict_primary,paper_qfq_complete_case_sensitivity,EW,10,-0.0173506258198,0.0710193676497,0.196426927366,-0.0192741941271,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,project_strict_primary,paper_qfq_complete_case_sensitivity,VW,5,-0.0143221295504,0.0735489157368,0.19811569019,-0.0170590666629,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,project_strict_primary,paper_qfq_complete_case_sensitivity,VW,10,-0.0141849195986,0.0646016329886,0.176354457144,-0.0166875543541,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,project_strict_primary,project_conservative_primary,EW,5,-0.0224836055274,0.11647121205,0.31705411112,-0.0249354891853,-0.0229456517486,-0.022109930972,0.00046204622115,SH601127,,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,project_strict_primary,project_conservative_primary,EW,10,-0.0232210346424,0.106222963498,0.280307722265,-0.0263921972633,-0.0241047748189,-0.0225050202053,0.000883740176497,SZ300765,,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,project_strict_primary,project_conservative_primary,VW,5,-0.0233924348272,0.115002359329,0.274080217966,-0.0262975055156,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P1_TRENDPV_RAW_ADAPTATION,project_strict_primary,project_conservative_primary,VW,10,-0.02101994175,0.0866247942327,0.238534374461,-0.0251221377557,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P4_RESMOM_R2_MARKET_ONLY_ADAPTATION,project_sequential_market_residual_primary,paper_qfq_complete_case_sensitivity,EW,5,0.00635205517774,0.0587709016137,0.16081701133,0.00399244686346,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P4_RESMOM_R2_MARKET_ONLY_ADAPTATION,project_sequential_market_residual_primary,paper_qfq_complete_case_sensitivity,EW,10,0.00664242984755,0.0570652176513,0.150840778577,0.0040541618189,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P4_RESMOM_R2_MARKET_ONLY_ADAPTATION,project_sequential_market_residual_primary,paper_qfq_complete_case_sensitivity,VW,5,0.00867304360074,0.0616240967164,0.149865506838,0.00657460885523,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P4_RESMOM_R2_MARKET_ONLY_ADAPTATION,project_sequential_market_residual_primary,paper_qfq_complete_case_sensitivity,VW,10,0.00286986732442,0.0540094024008,0.151285537608,0.000262701750156,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P4_RESMOM_R2_MARKET_ONLY_ADAPTATION,project_sequential_market_residual_primary,project_conservative_primary,EW,5,0.0153982588457,0.0824154714239,0.218466310152,0.0121304133262,0.0146818321581,0.0157750437991,0.000716426687581,SH600111,,design_only_not_support
P4_RESMOM_R2_MARKET_ONLY_ADAPTATION,project_sequential_market_residual_primary,project_conservative_primary,EW,10,0.0161886395418,0.0748399729599,0.187502648676,0.0125951536351,0.0147303886532,0.016787404049,0.00145825088856,SH600111,,design_only_not_support
P4_RESMOM_R2_MARKET_ONLY_ADAPTATION,project_sequential_market_residual_primary,project_conservative_primary,VW,5,0.0180750989339,0.0661532590093,0.181184632245,0.0153823596224,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P4_RESMOM_R2_MARKET_ONLY_ADAPTATION,project_sequential_market_residual_primary,project_conservative_primary,VW,10,0.00866253484175,0.0762555977432,0.204965005932,0.00495178250634,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P5_RESMOM_R3_BOARD_ADAPTATION,full_history_retrospective_proxy,paper_qfq_complete_case_sensitivity,EW,5,-0.000698724816271,0.085076082531,0.194189825303,-0.00181106900108,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P5_RESMOM_R3_BOARD_ADAPTATION,full_history_retrospective_proxy,paper_qfq_complete_case_sensitivity,EW,10,-0.00403116949926,0.0769154765289,0.171959959312,-0.0050628124573,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P5_RESMOM_R3_BOARD_ADAPTATION,full_history_retrospective_proxy,paper_qfq_complete_case_sensitivity,VW,5,0.00139318610044,0.0804030657598,0.167541411073,1.94775339163e-05,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P5_RESMOM_R3_BOARD_ADAPTATION,full_history_retrospective_proxy,paper_qfq_complete_case_sensitivity,VW,10,0.00245853541463,0.0556260534779,0.153350808546,0.000474669201114,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P5_RESMOM_R3_BOARD_ADAPTATION,full_history_retrospective_proxy,project_conservative_primary,EW,5,0.00122355447104,0.0814563721479,0.174484073908,0.000441958678309,0.000733613594169,0.00172519621818,0.000501641747134,SZ002153,,design_only_not_support
P5_RESMOM_R3_BOARD_ADAPTATION,full_history_retrospective_proxy,project_conservative_primary,EW,10,6.14615729757e-05,0.0482666672729,0.141128660626,-0.000987070598519,-0.00104415491927,0.000890033873497,0.00110561649225,SZ300476,,design_only_not_support
P5_RESMOM_R3_BOARD_ADAPTATION,full_history_retrospective_proxy,project_conservative_primary,VW,5,0.00557251941312,0.0595852306257,0.166004123542,0.00377272835063,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P5_RESMOM_R3_BOARD_ADAPTATION,full_history_retrospective_proxy,project_conservative_primary,VW,10,0.00824985644286,0.0650212827356,0.161464287413,0.00564522568264,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P6_LOWVOL_36M_COMPARATOR,project_monthly_volatility_primary,paper_qfq_complete_case_sensitivity,EW,5,0.00469356820611,0.0414419021241,0.115889265024,0.00253708458069,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P6_LOWVOL_36M_COMPARATOR,project_monthly_volatility_primary,paper_qfq_complete_case_sensitivity,EW,10,0.00631373884753,0.0457794895469,0.115969424418,0.00384226005262,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P6_LOWVOL_36M_COMPARATOR,project_monthly_volatility_primary,paper_qfq_complete_case_sensitivity,VW,5,0.00133603499228,0.0494660100233,0.125672893635,-0.00137599038197,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P6_LOWVOL_36M_COMPARATOR,project_monthly_volatility_primary,paper_qfq_complete_case_sensitivity,VW,10,0.0020498618461,0.0563479181533,0.130199721613,-0.000991180901882,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P6_LOWVOL_36M_COMPARATOR,project_monthly_volatility_primary,project_conservative_primary,EW,5,0.0101200809988,0.0632319826158,0.161970289561,0.00690855442615,0.00983702040398,0.0106308290672,0.000510748068344,SZ300394,,design_only_not_support
P6_LOWVOL_36M_COMPARATOR,project_monthly_volatility_primary,project_conservative_primary,EW,10,0.0105875895805,0.0706391158205,0.172490855783,0.00686643166197,0.0100562909703,0.0114311609297,0.000843571349208,SZ300394,,design_only_not_support
P6_LOWVOL_36M_COMPARATOR,project_monthly_volatility_primary,project_conservative_primary,VW,5,0.0051970391794,0.0765054612663,0.177408582091,0.001096437648,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
P6_LOWVOL_36M_COMPARATOR,project_monthly_volatility_primary,project_conservative_primary,VW,10,0.00662325459337,0.0868989128609,0.190657716421,0.00203025937246,,,,,LOIO_only_defined_for_project_EW,design_only_not_support
