scope,instrument,year,board_bucket,qfq_key_n,raw_key_n,overlap_key_n,overlap_rate,base_row_n,factor_pass_n,factor_fail_n,factor_unknown_n,factor_pass_rate,auditable_row_n,auditable_row_rate,in_range_n,out_of_range_n,unknown_n,range_pass_rate,coverage_threshold,range_threshold,status
instrument_year,SH600000,2017,main_board,244,244,244,1,244,3,241,0,0.0122950819672,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600000,2018,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600000,2019,main_board,244,244,244,1,244,5,239,0,0.0204918032787,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600000,2020,main_board,243,243,243,1,243,2,241,0,0.0082304526749,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600000,2021,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600000,2022,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600000,2023,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600000,2024,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600000,2025,main_board,243,243,243,1,243,116,127,0,0.477366255144,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600000,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2017,main_board,244,244,244,1,244,4,240,0,0.016393442623,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2018,main_board,243,243,243,1,243,12,231,0,0.0493827160494,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2019,main_board,244,244,244,1,244,20,224,0,0.0819672131148,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2020,main_board,243,243,243,1,243,11,232,0,0.0452674897119,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2021,main_board,243,243,243,1,243,8,235,0,0.0329218106996,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2022,main_board,242,242,242,1,242,5,237,0,0.0206611570248,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2023,main_board,242,242,242,1,242,6,236,0,0.0247933884298,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2024,main_board,242,242,242,1,242,10,232,0,0.0413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2025,main_board,243,243,243,1,243,171,72,0,0.703703703704,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600004,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2017,main_board,244,244,244,1,244,3,241,0,0.0122950819672,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2018,main_board,243,243,243,1,243,0,243,0,0,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2019,main_board,244,244,244,1,244,1,243,0,0.00409836065574,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2020,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2021,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2022,main_board,237,237,237,1,237,8,229,0,0.0337552742616,237,1,237,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2023,main_board,242,242,242,1,242,103,139,0,0.425619834711,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2024,main_board,242,242,242,1,242,137,105,0,0.566115702479,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2025,main_board,243,243,243,1,243,225,18,0,0.925925925926,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600006,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
