instrument,trigger_decision_date,source_sample_row_idx,exclusion_scope,reason,source_requirement_version,source_manifest_sha256,source_failure_evidence_sha256,registry_sha256,validation_status
SH600008,2022-04-28,338760,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600062,2022-07-25,359115,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600064,2019-06-05,88478,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600098,2022-06-15,348680,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600110,2021-12-16,306385,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600116,2020-07-13,182478,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600138,2018-10-25,43266,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600172,2018-04-02,10892,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600185,2020-11-05,207185,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600198,2019-06-05,88497,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600201,2021-05-27,256452,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600211,2020-11-02,206246,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600216,2020-07-15,182971,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600248,2022-02-22,321940,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600252,2018-06-25,20653,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600259,2019-06-18,90858,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600266,2019-12-23,134758,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600269,2018-02-09,4505,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600273,2020-02-24,148349,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600305,2021-05-27,256463,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600307,2019-03-25,75281,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600315,2022-07-04,353916,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600323,2021-03-16,238920,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600325,2020-01-14,139900,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600328,2021-09-22,285968,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600338,2022-09-26,377904,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
