pin_order,pin_id,path,expected_sha256,observed_sha256,expected_size_bytes,observed_size_bytes,file_set_status,hash_status,overall_status,reason
0,21c_manifest,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21C_full_reaka_pit_proxy_replication_v4/manifest_21c_full_reaka_pit_proxy_replication.json,b4537b99086c1c89c0f10d494a99aa8fb89434ea12b3557710cba29cfdda1529,b4537b99086c1c89c0f10d494a99aa8fb89434ea12b3557710cba29cfdda1529,,8276,pass,pass,pass,
1,21c_output_hashes,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21C_full_reaka_pit_proxy_replication_v4/output_hashes_21c_full_reaka_pit_proxy_replication.json,bb56098ce915e64870a0f1b231c77c1190d4557ddd20c380b66ae23567cb2cc9,bb56098ce915e64870a0f1b231c77c1190d4557ddd20c380b66ae23567cb2cc9,,6503,pass,pass,pass,
2,21c_decision,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21C_full_reaka_pit_proxy_replication_v4/21C_full_reaka_pit_proxy_replication_decision.csv,0eaaed6f2ec80fc8db0ca3588bf26ca6d0d4f48400eabdb198702461603ef664,0eaaed6f2ec80fc8db0ca3588bf26ca6d0d4f48400eabdb198702461603ef664,,2324,pass,pass,pass,
3,21c_companion_report,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21C_full_reaka_pit_proxy_replication_v4_detailed_report_cn.md,1b0e0d8dd910202d85616706089b4f97745f07a1761df9753564d4bda0cf1d70,1b0e0d8dd910202d85616706089b4f97745f07a1761df9753564d4bda0cf1d70,,18753,pass,pass,pass,
4,21c_runner,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/src/run_21c_full_reaka_pit_proxy_replication.py,fc57a05cb9ed9ef16149000137bef965fd1a768a253b5bd790cf51808d3f36a7,fc57a05cb9ed9ef16149000137bef965fd1a768a253b5bd790cf51808d3f36a7,,202814,pass,pass,pass,
5,21c_config,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/configs/config_21c_full_reaka_pit_proxy_replication.yaml,55347efd5aaa4e1132b075fb07e65b46df1e47689dafbb66a724b1ff1d591f7b,55347efd5aaa4e1132b075fb07e65b46df1e47689dafbb66a724b1ff1d591f7b,,6142,pass,pass,pass,
6,21c_test,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/tests/test_21c_full_reaka_pit_proxy_replication.py,13a9dafbc0eb70b52115f9761556b86eb34787289c51f8388c025f7428f48699,13a9dafbc0eb70b52115f9761556b86eb34787289c51f8388c025f7428f48699,,23694,pass,pass,pass,
7,21b_v5_manifest,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5/manifest_21b_alpha158_sequence_baseline_benchmark.json,d5ca5c5997c4cce5019e73c0dd0e0fa06c4747a43d323f483c4de29131478d85,d5ca5c5997c4cce5019e73c0dd0e0fa06c4747a43d323f483c4de29131478d85,,7669,pass,pass,pass,
8,21b_v5_output_hashes,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5/output_hashes_21b_alpha158_sequence_baseline_benchmark.json,e20f2ac9e5e49f51494373feaacb93c4e0ea609bb3b563e44fd98a4523db7552,e20f2ac9e5e49f51494373feaacb93c4e0ea609bb3b563e44fd98a4523db7552,,6240,pass,pass,pass,
9,21b_v6_manifest,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v6/manifest_21b_alpha158_sequence_baseline_benchmark.json,443c0cee3dd247596e2150c22c9f2e1cdeb5d3629f59853cfe655d0069f42917,443c0cee3dd247596e2150c22c9f2e1cdeb5d3629f59853cfe655d0069f42917,,7702,pass,pass,pass,
10,21b_v6_output_hashes,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v6/output_hashes_21b_alpha158_sequence_baseline_benchmark.json,e219b2416c0e413979919d51ec8c8c4481db9404a3c4b50625d5832ec7ed02d9,e219b2416c0e413979919d51ec8c8c4481db9404a3c4b50625d5832ec7ed02d9,,6240,pass,pass,pass,
