feature,train_median,train_scale
RESI5,-0.00015613159,0.009359119
WVMA5,0.92277575,0.32714167
RSQR5,0.53261566,0.41470227
KLEN,0.028435994,0.0173559
RSQR10,0.45109507,0.40957868
CORR5,0.363208,0.60888606
CORD5,0.33866507,0.68674606
CORR10,0.36457202,0.46007705
ROC60,0.9835681,0.1568996
RESI10,-0.0002805967,0.017958151
VSTD5,0.27070835,0.13357155
RSQR60,0.43713135,0.39400437
CORR60,0.40212315,0.37368327
WVMA60,1.3881752,0.33920112
STD5,0.016378129,0.011445193
RSQR20,0.4426464,0.3950473
CORD60,0.27030104,0.23041482
CORD10,0.3102304,0.49893314
CORR20,0.37419027,0.40253565
KLOW,0.0059914147,0.005617262
