contrast,current_variant,reference_variant,metric,positive_seed_count,seed_count,median_paired_delta,min_paired_delta,max_paired_delta
volume_given_momentum,plus_momentum_volume,plus_momentum,validation_paper_proxy_ic,1,5,-0.0032004790948841257,-0.006555865044426441,0.0035805874553612796
volume_given_momentum,plus_momentum_volume,plus_momentum,validation_executable_bridge_ic,1,5,-0.0065057033054002275,-0.008524425806687944,0.005088565616778132
volume_given_momentum,plus_momentum_volume,plus_momentum,historical_test_paper_proxy_ic,2,5,-0.001880531739928611,-0.004055260167805172,0.0005511391354306623
volume_given_momentum,plus_momentum_volume,plus_momentum,historical_test_executable_bridge_ic,1,5,-0.003688508686333424,-0.007163991778859559,0.0033823462921936474
volume_given_momentum,plus_momentum_volume,plus_momentum,historical_test_paper_proxy_net_arr,3,5,0.02489699044141691,-0.04094852887403344,0.08750843433712263
volume_given_momentum,plus_momentum_volume,plus_momentum,historical_test_executable_bridge_net_arr,3,5,0.05015343165233266,-0.06560230449672644,0.07812139363646353
momentum_given_volume,plus_momentum_volume,plus_volume,validation_paper_proxy_ic,2,5,-0.000296260011214829,-0.0018352178709584322,0.004176109794976754
momentum_given_volume,plus_momentum_volume,plus_volume,validation_executable_bridge_ic,4,5,0.00196230836289997,-0.001158557431835257,0.004366716136584414
momentum_given_volume,plus_momentum_volume,plus_volume,historical_test_paper_proxy_ic,3,5,0.0002559019252722887,-0.00232446693386143,0.002359950913533918
momentum_given_volume,plus_momentum_volume,plus_volume,historical_test_executable_bridge_ic,3,5,0.000846259409587111,-0.005966540403881621,0.002101439223026552
momentum_given_volume,plus_momentum_volume,plus_volume,historical_test_paper_proxy_net_arr,4,5,0.04850757053204435,-0.055111699310355755,0.07674511583307164
momentum_given_volume,plus_momentum_volume,plus_volume,historical_test_executable_bridge_net_arr,4,5,0.039801014774966115,-0.0661411627942694,0.10294043989093682
reversal_given_core,plus_core_reversal,plus_momentum_volume,validation_paper_proxy_ic,5,5,0.0009321259380223115,2.8468431323087733e-05,0.005113157836794698
reversal_given_core,plus_core_reversal,plus_momentum_volume,validation_executable_bridge_ic,4,5,0.0019421311164421941,-0.000839301057297865,0.006988057209288241
reversal_given_core,plus_core_reversal,plus_momentum_volume,historical_test_paper_proxy_ic,5,5,0.0016950897511699477,0.0005476983194228121,0.006648402779403538
reversal_given_core,plus_core_reversal,plus_momentum_volume,historical_test_executable_bridge_ic,4,5,0.0008983326967030841,-0.00035160861201417176,0.007806856978428469
reversal_given_core,plus_core_reversal,plus_momentum_volume,historical_test_paper_proxy_net_arr,2,5,-0.03755115189536995,-0.06679730988111499,0.060915466806568785
reversal_given_core,plus_core_reversal,plus_momentum_volume,historical_test_executable_bridge_net_arr,2,5,-0.02321237960447431,-0.06842203351841358,0.08624487688537363
close_location_given_core,plus_core_close_location,plus_momentum_volume,validation_paper_proxy_ic,3,5,0.0008928556810165883,-0.0031538622325213324,0.007713843629467374
close_location_given_core,plus_core_close_location,plus_momentum_volume,validation_executable_bridge_ic,5,5,0.005202056809161483,0.0010164073901557762,0.012312148434028464
close_location_given_core,plus_core_close_location,plus_momentum_volume,historical_test_paper_proxy_ic,2,5,-0.0003656067469699339,-0.003291883296050507,0.004613709143865425
close_location_given_core,plus_core_close_location,plus_momentum_volume,historical_test_executable_bridge_ic,5,5,0.0032853247329277333,0.0002881944150445494,0.009609433163629649
close_location_given_core,plus_core_close_location,plus_momentum_volume,historical_test_paper_proxy_net_arr,2,5,-0.02902591645277619,-0.09580203261499931,0.14509849821257825
close_location_given_core,plus_core_close_location,plus_momentum_volume,historical_test_executable_bridge_net_arr,1,5,-0.03687485665729162,-0.0904265335320047,0.14423089023968094
both_weak_factors_given_core,plus_all_four,plus_momentum_volume,validation_paper_proxy_ic,2,5,-9.279211137855348e-05,-0.0017585885427975744,0.005765330732362593
both_weak_factors_given_core,plus_all_four,plus_momentum_volume,validation_executable_bridge_ic,4,5,0.006750668457241662,-0.0009637922597728575,0.010138018301673116
both_weak_factors_given_core,plus_all_four,plus_momentum_volume,historical_test_paper_proxy_ic,2,5,-0.0012240845120460656,-0.008310417383975784,0.0032134923746887385
both_weak_factors_given_core,plus_all_four,plus_momentum_volume,historical_test_executable_bridge_ic,4,5,0.004751666772203775,-0.0017846536488470323,0.006090986120046658
both_weak_factors_given_core,plus_all_four,plus_momentum_volume,historical_test_paper_proxy_net_arr,2,5,-0.017014294778157524,-0.03224699287077204,0.04206095547905653
both_weak_factors_given_core,plus_all_four,plus_momentum_volume,historical_test_executable_bridge_net_arr,1,5,-0.024410569785487057,-0.05355585688409259,0.06285608073345506
close_location_given_core_reversal,plus_all_four,plus_core_reversal,validation_paper_proxy_ic,2,5,-0.0008061920375979689,-0.0027829547228857138,0.0021710600908860017
close_location_given_core_reversal,plus_all_four,plus_core_reversal,validation_executable_bridge_ic,4,5,0.002707237418602808,-0.0019336559394509366,0.005344101279471889
