metric,baseline,current,delta_current_minus_baseline,interpretation
IC,0.008418875162050685,0.005211288249234129,-0.003207586912816556,worse
ICIR,0.08805024059657719,0.049792074306823135,-0.038258166289754055,worse
Rank IC,0.005547663655492214,0.005574071391943638,0.000026407736451424,flat
Rank ICIR,0.05157741391007008,0.05165638430594055,0.000078970395870470,flat
1day.excess_return_without_cost.annualized_return,-0.014083470928612606,-0.006113225901327885,0.007970245027284721,better_but_negative
1day.excess_return_without_cost.information_ratio,-0.1917975904129951,-0.07998600877126665,0.11181158164172845,better_but_negative
1day.excess_return_without_cost.max_drawdown,-0.14907581451850557,-0.16400908326082253,-0.01493326874231696,worse
1day.excess_return_with_cost.annualized_return,-0.061473279771454774,-0.05398965370236082,0.007483626069093954,better_but_negative
1day.excess_return_with_cost.information_ratio,-0.8372405783611963,-0.7063600597038844,0.1308805186573119,better_but_negative
1day.excess_return_with_cost.max_drawdown,-0.23169817261707287,-0.1899777139202876,0.04172045869678527,better
l2.valid,0.996414069837699,0.99658922089171,0.000175151054011,worse
l2.train,0.9836733484311289,0.9799087448204256,-0.0037646036107033,better
